Date,age,balance,day_of_week,duration,campaign,pdays,previous,Target
20080516,40,580,16,192,1,-1,0,0
20080609,47,3644,9,83,2,-1,0,0
20100420,25,538,20,226,1,-1,0,0
20100409,42,1773,9,311,1,336,1,0
20080721,56,217,21,121,2,-1,0,0
20100209,28,1134,9,130,3,-1,0,0
20100507,24,1085,7,95,6,-1,0,0
20100323,37,127,23,83,4,-1,0,0
20080725,30,3,25,51,1,-1,0,0
20080620,38,258,20,587,2,-1,0,0
20100401,33,498,30,301,1,-1,0,1
20100514,48,65,14,146,1,370,1,0
20080509,30,18,9,395,1,-1,0,0
20100305,31,883,5,112,2,106,1,1
20100206,30,640,6,124,4,213,2,0
20101015,30,536,15,244,1,105,1,1
20100513,35,247,13,114,1,352,5,0
20100518,31,518,18,399,1,-1,0,0
20080523,46,0,23,172,3,-1,0,0
20090504,33,5437,4,267,1,91,1,1
20091120,49,-478,20,291,1,-1,0,0
20100506,35,991,6,1489,3,-1,0,1
20090505,43,-755,5,162,1,337,1,0
20080527,44,-239,27,111,3,-1,0,0
20091121,33,3017,21,240,3,-1,0,0
20080513,33,184,13,109,4,-1,0,0
20100813,23,431,13,496,2,-1,0,1
20090805,47,699,5,203,1,-1,0,0
20090804,60,914,4,64,1,-1,0,0
20080512,51,7816,12,76,2,-1,0,0
20091118,56,728,18,163,2,110,15,0
20091119,59,3428,19,103,1,-1,0,0
20090828,49,223,28,22,22,-1,0,0
20090805,49,2254,5,77,1,-1,0,0
20091118,56,589,18,208,1,26,3,0
20090820,38,79,20,209,2,-1,0,0
20080507,46,78,7,145,1,-1,0,0
20080714,58,409,14,643,2,-1,0,0
20080521,36,352,21,139,2,-1,0,0
20100514,29,-312,14,130,2,-1,0,0
20090202,39,1044,2,158,1,-1,0,0
20090807,36,227,7,336,4,-1,0,0
20091027,37,1967,27,376,1,-1,0,1
20090506,44,650,6,142,2,-1,0,0
20100512,34,1309,12,456,2,364,1,0
20080508,51,115,8,136,1,-1,0,0
20100709,27,337,9,23,1,-1,0,1
20080516,49,874,16,152,2,-1,0,0
20100513,65,679,13,593,2,178,1,0
20080606,36,8114,6,505,1,-1,0,0
20100202,32,453,2,544,1,269,2,0
20090505,56,0,5,259,2,-1,0,0
20080724,28,258,24,134,1,-1,0,0
20080716,59,2540,16,1432,5,-1,0,0
20080626,28,196,26,176,7,-1,0,0
20100203,33,14889,3,22,3,-1,0,0
20080708,44,0,8,54,2,-1,0,0
20080618,39,1340,18,113,2,-1,0,0
20100601,33,1323,1,327,1,-1,0,1
20080620,60,4722,20,459,3,-1,0,0
20100708,34,267,8,449,2,-1,0,1
20080509,33,60,9,131,1,-1,0,0
20090825,39,355,25,313,5,-1,0,0
20080526,31,-452,26,182,5,-1,0,0
20080703,38,93,3,515,2,-1,0,0
20091120,32,10142,20,249,1,-1,0,0
20080505,24,82,5,204,2,-1,0,0
20100508,40,1270,8,1049,2,-1,0,0
20080716,47,80,16,169,5,-1,0,0
20100511,37,-17,11,400,2,340,2,0
20100203,57,113,3,191,2,-1,0,0
20080514,44,447,14,106,5,-1,0,0
20100518,31,-348,18,410,1,-1,0,0
20100226,29,238,26,79,1,-1,0,0
20080508,60,7601,8,285,1,-1,0,0
20100512,55,-14,12,82,4,-1,0,0
