EDUCATION,EXPERIENCE,AGE,SOUTH_yes,SEX_male,UNION_not_member,RACE_Other,RACE_White,OCCUPATION_Management,OCCUPATION_Other,OCCUPATION_Professional,OCCUPATION_Sales,OCCUPATION_Service,SECTOR_Manufacturing,SECTOR_Other,MARR_Unmarried,WAGE,EDUCATION_shap,EXPERIENCE_shap,AGE_shap,SOUTH_yes_shap,SEX_male_shap,UNION_not_member_shap,RACE_Other_shap,RACE_White_shap,OCCUPATION_Management_shap,OCCUPATION_Other_shap,OCCUPATION_Professional_shap,OCCUPATION_Sales_shap,OCCUPATION_Service_shap,SECTOR_Manufacturing_shap,SECTOR_Other_shap,MARR_Unmarried_shap,base_value
9,34,49,True,False,False,True,False,False,False,True,False,False,False,True,False,,-1.4248216368935325,-0.08983495018698952,0.5760913762179288,-0.12360351735895331,-0.6270407763394442,0.9757550412958319,0.16693964871493253,-0.4141175963661887,-0.1283320513638583,0.13149140097878195,0.5801985914056952,0.05202154679731889,0.12051218206232245,-0.0059351487593217326,-0.08280333605679599,-0.018105246803977272,8.396259307861328
15,11,32,False,False,True,False,True,False,False,True,False,False,False,True,False,,1.4922865954312412,0.4660245721990412,-0.08381635492498224,0.22591287439519708,-0.6837621168656782,-0.1275708025152033,-0.01373646476052024,0.14027144692160867,-0.15813810175115411,0.10073722492564809,1.0174427465959028,0.08845337954434482,0.21019805561412463,-0.0920210751620206,-0.08978566256436435,-0.032378976995294746,8.396259307861328
15,10,31,False,True,True,False,True,False,False,True,False,False,False,True,True,,1.566157341003418,0.4469289779663086,-0.010212378068403765,0.22965517911044034,0.6062122691761364,-0.1352292841131037,0.012895237315784801,0.12697037783536044,-0.19047849828546698,0.09060391512784091,1.2512338811700994,0.0664666782725941,0.2555782144719904,-0.12331173636696556,-0.09908320687033913,-0.007898243990811434,8.396259307861328
12,12,30,True,True,True,False,True,False,False,True,False,False,False,True,False,,-0.6686699173667214,0.2650544860146262,-0.427933086048473,-0.2169140035455877,0.5705263397910378,-0.22914721749045633,-0.022578412836248226,0.12158333171497691,-0.1465604088523171,0.07097014513882724,0.7554570978338068,0.06094442714344372,0.2120405543934215,-0.077915451743386,-0.10357301885431464,-0.006608572873202237,8.396259307861328
16,6,28,False,False,False,False,True,False,False,True,False,False,False,True,True,,1.081001715226607,-0.07341740348122337,-0.6104097366333008,0.12188044461337003,-0.5726830742575906,0.7395398833534934,-0.025479663502086292,0.07275009155273438,-0.1648802323774858,0.07694313742897728,1.0451477657664905,0.05428591641512784,0.13612227006392044,-0.09429766915061256,-0.07681378451260654,0.04756970839066939,8.396259307861328
18,5,29,False,True,True,False,True,False,False,True,False,False,False,True,True,,2.124746149236506,0.11866413463245738,-0.2929647619074041,0.29173851013183594,0.43782520294189453,-0.0997214750810103,0.00425477461381392,0.1153601733121005,-0.22093339399857956,0.08188030936501244,1.452671311118386,0.05391649766401811,0.22848450053821912,-0.14702640880237927,-0.11361954428932884,0.014508680863813921,8.396259307861328
12,33,51,False,False,True,True,False,False,False,True,False,False,False,True,False,,-0.5919158675453879,0.036846074191006745,0.5370891310951926,0.11359891024502841,-0.6376738548278809,-0.17227645353837448,0.17849497361616654,-0.45089309865778143,-0.14071815664117987,0.10058845173228871,0.712092703038996,0.0549148212779652,0.1396146687594327,-0.036714337088844994,-0.10893687334927646,-0.014827034690163353,8.396259307861328
17,25,48,False,False,False,True,False,False,False,True,False,False,False,True,False,,2.6049401543357154,0.3704212795604359,0.7250036326321688,0.12730520421808417,-0.7069110870361328,0.7644288323142312,-0.06555453213778409,-0.42724986509843305,-0.173603664744984,0.0668425126509233,0.9394803047180176,0.03306354175914417,0.09769162264737216,-0.06385074962269176,-0.09711048819802025,-0.03261089324951172,8.396259307861328
12,13,31,True,True,False,False,True,False,False,True,False,False,False,True,False,,-0.4816442402926358,0.46898954564874823,0.05412830005992542,-0.13227571140636096,0.6314575021917169,1.3488583131269976,-0.004875616593794389,0.10270777615633878,-0.13160341436212714,0.04298387874256481,0.6347313360734419,0.04352426528930664,0.16333792426369406,-0.05717164819890803,-0.07169385389848189,-0.002477992664683949,8.396259307861328
16,33,55,False,True,True,False,True,False,False,True,False,False,True,False,False,,1.9554264762184836,0.9324479536576704,1.8439238288185813,0.14482324773615057,0.8389694040471857,-0.1008873852816495,0.05724031274968928,0.11430272189053622,-0.20927368510853162,0.16935149106112393,1.1808300018310547,0.031111717224121094,0.2690883116288619,0.6252944252707742,0.5785003141923384,-0.03142226826060902,8.396259307861328
