ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_NEXT_MONTH
1,20000,female,university,married,24,2 month delay,2 month delay,pay duly,pay duly,no consumption,no consumption,3913,3102,689,0,0,0,0,689,0,0,0,0,y
2,120000,female,university,single,26,pay duly,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,y
3,90000,female,university,single,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,n
4,50000,female,university,married,37,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,n
5,50000,male,university,married,57,pay duly,use of revolving credit,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,n
6,50000,male,graduate school,single,37,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,n
7,500000,male,graduate school,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,n
8,100000,female,university,single,23,use of revolving credit,pay duly,pay duly,use of revolving credit,use of revolving credit,pay duly,11876,380,601,221,-159,567,380,601,0,581,1687,1542,n
9,140000,female,high school,married,28,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,n
10,20000,male,high school,single,35,no consumption,no consumption,no consumption,no consumption,pay duly,pay duly,0,0,0,0,13007,13912,0,0,0,13007,1122,0,n
11,200000,female,high school,single,34,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,pay duly,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,n
12,260000,female,graduate school,single,51,pay duly,pay duly,pay duly,pay duly,pay duly,2 month delay,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,n
13,630000,female,university,single,41,pay duly,use of revolving credit,pay duly,pay duly,pay duly,pay duly,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,n
14,70000,male,university,single,30,1 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,2 month delay,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,y
15,250000,male,graduate school,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,n
16,50000,female,high school,divorced,23,1 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,n
17,20000,male,graduate school,single,24,use of revolving credit,use of revolving credit,2 month delay,2 month delay,2 month delay,2 month delay,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,y
18,320000,male,graduate school,married,49,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,n
19,360000,female,graduate school,married,49,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
20,180000,female,graduate school,single,29,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
21,130000,female,high school,single,39,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,n
22,120000,female,university,married,39,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,316,316,316,0,632,316,316,316,0,632,316,0,y
23,70000,female,university,single,26,2 month delay,use of revolving credit,use of revolving credit,2 month delay,2 month delay,2 month delay,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,y
24,450000,female,graduate school,married,40,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,y
25,90000,male,graduate school,single,23,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,use of revolving credit,use of revolving credit,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,n
26,50000,male,high school,single,23,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,n
