"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
1,1,20000,NA,"university","married",24,3913,3102,689,0,NA,0,0,689,0,0,0,0,1,"no_util","2_month_delay","pay_duly","pay_duly","no_util","no_util"
2,2,120000,"female",NA,"single",26,NA,NA,2682,3272,3455,3261,0,1000,1000,NA,0,NA,1,"pay_duly","2_month_delay","use_revolv_credit",NA,"use_revolv_credit",NA
3,3,90000,"female","university","single",NA,29239,14027,13559,14331,14948,15549,1518,NA,1000,1000,1000,5000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
4,4,50000,"female","university","married",37,46990,48233,NA,NA,28959,29547,2000,2019,NA,NA,1069,1000,0,"1_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
5,5,50000,"male","university","married",57,8617,5670,35835,20940,19146,19131,2000,NA,10000,NA,689,679,0,"2_month_delay","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit",NA
NA,6,50000,"male","graduate","single",37,64400,NA,57608,19394,NA,20024,2500,1815,657,1000,1000,NA,0,"3_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
7,7,500000,"male","graduate","single",29,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,"4_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
8,8,100000,"female","university","single",NA,11876,380,601,NA,-159,567,380,601,0,581,1687,1542,0,"5_month_delay","pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","pay_duly"
9,9,140000,"female","highschool","married",28,NA,14096,12108,12211,11793,3719,3329,0,NA,1000,1000,NA,0,"6_month_delay","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
10,10,NA,"male","highschool","single",35,0,NA,0,0,13007,13912,0,0,0,NA,1122,0,0,NA,"no_util","no_util","no_util","pay_duly",NA
11,11,200000,"female","highschool","single",34,11073,9787,5535,2513,1828,NA,2306,12,50,300,3738,66,0,"8_month_delay","use_revolv_credit","2_month_delay",NA,"use_revolv_credit","pay_duly"
12,NA,NA,"female","graduate","single",51,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,"pay_duly",NA,"pay_duly","pay_duly","pay_duly","2_month_delay"
13,13,630000,"female","university","single",41,12137,NA,6500,NA,6500,NA,1000,6500,NA,NA,2870,0,0,"pay_duly","use_revolv_credit",NA,"pay_duly","pay_duly","pay_duly"
14,14,70000,"male","university","single",30,65802,67369,65701,66782,36137,NA,3200,NA,3000,3000,1500,0,1,"1_month_delay","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay"
15,15,250000,"male",NA,"single",29,70887,67060,63561,59696,NA,55512,3000,3000,3000,3000,3000,3000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,16,50000,"female","highschool","divorce",23,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,"1_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
17,17,20000,"male","graduate","single",24,15376,18010,17428,18338,17905,NA,3200,0,1500,0,1650,0,1,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
18,18,320000,"male","graduate","married",49,253286,246536,194663,NA,5856,195599,10358,10000,75940,20000,195599,50000,0,"use_revolv_credit","use_revolv_credit",NA,"pay_duly","pay_duly",NA
19,19,360000,"female",NA,"married",49,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,"no_util","no_util","no_util","no_util","no_util"
20,20,180000,"female",NA,"single",29,0,0,0,0,0,0,0,0,0,0,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
21,21,130000,"female",NA,"single",39,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
22,22,120000,"female","university","married",39,316,316,316,0,632,NA,316,316,NA,632,316,0,1,"pay_duly","pay_duly","pay_duly",NA,NA,"pay_duly"
23,23,70000,"female","university","single",26,41087,42445,NA,44006,46905,46012,2007,3582,0,3601,0,1820,1,"2_month_delay",NA,"use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
24,24,450000,NA,"graduate","married",40,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,"no_util","no_util","no_util","no_util","no_util","no_util"
25,25,90000,"male","graduate","single",NA,4744,7070,0,NA,6360,8292,5757,0,5398,NA,2045,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit"
26,26,50000,"male","highschool","single",NA,47620,41810,36023,28967,29829,NA,1973,1426,NA,1432,1062,997,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
27,NA,60000,"male","graduate","single",27,NA,-425,259,-57,NA,-189,0,1000,NA,500,0,1000,1,"1_month_delay","no_util","pay_duly","pay_duly","pay_duly","pay_duly"
28,28,50000,"female","highschool","single",NA,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
29,29,50000,"female","highschool","married",NA,650,3415,3416,2040,30430,257,NA,3421,2044,30430,NA,0,0,"pay_duly","pay_duly","pay_duly","pay_duly",NA,NA
30,30,NA,"male","graduate","single",NA,NA,16575,17496,17907,18375,11400,1500,1500,1000,1000,NA,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
31,31,230000,"female","graduate","single",27,16646,17265,13266,15339,14307,36923,NA,NA,15339,14307,37292,0,0,"pay_duly","pay_duly",NA,"pay_duly","pay_duly","pay_duly"
32,32,50000,"male","university","single",33,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,"2_month_delay",NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
33,33,100000,"male","graduate","single",32,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
34,34,500000,"female","university","married",54,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,"no_util","no_util","no_util",NA,"no_util","no_util"
35,35,500000,"male","graduate","married",58,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,"no_util","no_util","no_util","no_util","no_util","no_util"
36,36,160000,"male","graduate",NA,30,30265,-131,-527,-923,-1488,-1884,131,396,396,565,NA,0,0,"pay_duly","pay_duly","no_util","no_util","no_util","pay_duly"
37,37,280000,"male",NA,"married",40,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
38,38,60000,"female","university","single",22,15054,9806,11068,6026,-28335,18660,NA,1518,NA,0,47671,617,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
