"ID","INT_DATE","INT_DATE_TIME","STR_DATE","DATE_DATE"
1,20190501,20190501131001,"2019-05-01",9/17/19
2,20190502,20190502131002,"2019-05-02",9/18/20
3,20190503,20190503131003,"2019-05-03",9/19/21
4,20160404,20160404131004,"2016-04-04",4/22/19
5,20190505,20190505131005,"2019-05-05",9/21/19
6,20190506,20190506131006,"2019-05-06",9/22/19
7,20190507,20190507131007,"2019-05-07",9/23/19
8,20190508,20190508131008,"2019-05-08",9/24/19
9,20190509,20190509131009,"2019-05-09",9/25/19
10,20180609,20180609131010,"2018-06-09",8/17/19
11,20180610,20180610131011,"2018-06-10",8/18/19
12,20180611,20180611131012,"2018-06-11",8/19/19
13,20180612,20180612131013,"2018-06-12",8/20/19
14,20180613,20180613131014,"2018-06-13",8/21/19
15,20180614,20180614131015,"2018-06-14",8/22/19
16,20180615,20180615131016,"2018-06-15",8/23/19
17,20180616,20180616131017,"2018-06-16",8/24/19
18,20180617,20180617131018,"2018-06-17",8/25/19
19,20180618,20180618131019,"2018-06-18",8/26/19
20,20170619,20170619131020,"2017-06-19",4/11/19
